participant,model,choice_only,objective,success,best_start_index,message,log_k_R,log_k_L,log_beta,alpha,delta_L,log_b,log_sigma
bh348lli7,M1,False,65.58830660225213,True,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,0.03696917030170672,-3.856706897433372,-1.0059629498256866,0.08069511451256045,-4.187278016171225,-0.7862471402973098
c0ry57ax9,M1,False,216.39698545846048,True,10,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,4.60517,-2.21164998293648,-4.120950365228224,0.16741353508750453,-0.21568804932741384,-5.905347285893242,-1.0674861783216687
ck5f3lx8c,M1,False,331.61887533308936,True,1,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.06249155021463165,-0.3806941369103253,0.7558653262640268,0.8533231459996354,0.13732060052026507,-2.7122637975658015,-1.1760476194283576
ctdyczfpw,M1,False,247.1258235611877,True,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.14716649477099908,0.7051279829072195,1.7633683669912117,0.6832651029129629,-0.07202026504528099,-2.7656468818794138,-1.1131694422522886
dasemqdsv,M1,False,337.87908264049616,False,16,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0785945004057784,-0.717553912945707,-0.43579705179192296,0.5632938964773488,-0.022515083046126053,-3.7315203465446753,-0.8725848614519458
derouhkrw,M1,False,306.3071544414762,True,13,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.2772883721452021,-2.645557862959274,0.4613839109273898,0.6251424337889149,-0.02697633686099474,-4.064576031377788,-1.0527910245063947
dm8t9csqy,M1,False,291.12672146204784,True,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.041879907909658,-1.4079438607974055,1.1791512648371887,0.7418616151893727,-0.21947023142431316,-2.9270398345209685,-1.0622012420598388
eqi6zanpf,M1,False,245.2083670340289,True,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.4701496063887718,1.4454887968662993,1.3986014162712503,0.7381305293500745,-0.01444443669599299,-3.336756007369796,-1.1038895045437267
etxmnk1pg,M1,False,403.91402186716584,True,17,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.450592549363893,-1.7631861353120424,0.05661483221367781,0.8927849070000529,0.2203734554824101,-3.890218896996643,-0.9609488075387548
goz8d3fp9,M1,False,347.3736549913166,True,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.9515806898282618,-1.273356904420153,0.741470102443991,0.8860673108528656,-0.16123661274588766,-3.1533937914476264,-0.9178378249065497
