generating_model,replicate,sample_kind,participant,run,fitted_model,fit_success,condition,run_b_rt_mlpd,n_rt,out_of_support_trial_fraction,n_in_support,n_out_of_support,in_support_rt_mlpd,out_of_support_rt_mlpd
M1,17,nominal,M1_nominal_0017,B,M1,True,R,-1.458705641759401,100,0.01,99,1,-1.463040402513165,-1.0295643271367823
M1,17,nominal,M1_nominal_0017,B,M1,True,L,-1.826105422170196,100,0.03,97,3,-1.8254545279043755,-1.84715100343173
M1,17,nominal,M1_nominal_0017,B,M2,True,R,-1.4577078640814627,100,0.01,99,1,-1.4620724636712374,-1.025612504693793
M1,17,nominal,M1_nominal_0017,B,M2,True,L,-1.838013030313835,100,0.15,85,15,-1.8574055949263235,-1.7281218308430648
M1,17,nominal,M1_nominal_0017,B,M3,True,R,-1.458862779781744,100,0.0,100,0,-1.458862779781744,
M1,17,nominal,M1_nominal_0017,B,M3,True,L,-1.829844714748059,100,0.0,100,0,-1.829844714748059,
M1,18,nominal,M1_nominal_0018,B,M1,True,R,-1.3304475691107143,100,0.01,99,1,-1.3298126799965244,-1.3933015914154827
M1,18,nominal,M1_nominal_0018,B,M1,True,L,-1.700052436406375,100,0.16,84,16,-1.6963452316483707,-1.719515261385899
M1,18,nominal,M1_nominal_0018,B,M2,True,R,-1.3361072682251651,100,0.0,100,0,-1.3361072682251651,
M1,18,nominal,M1_nominal_0018,B,M2,True,L,-1.733911567875588,100,0.05,95,5,-1.745603364531432,-1.5117674314145542
M1,18,nominal,M1_nominal_0018,B,M3,True,R,-1.3350422306195373,100,0.01,99,1,-1.3312969770897978,-1.705822330063771
M1,18,nominal,M1_nominal_0018,B,M3,True,L,-1.6590893638909816,100,0.02,98,2,-1.664500169771558,-1.3939598757427403
M1,19,nominal,M1_nominal_0019,B,M1,True,R,-1.3158649863837883,100,0.1,90,10,-1.3080803915057853,-1.3859263402858155
M1,19,nominal,M1_nominal_0019,B,M1,True,L,-1.555516593316601,100,0.01,99,1,-1.5594868138417737,-1.1624647613245265
M1,19,nominal,M1_nominal_0019,B,M2,True,R,-1.3172821442477596,100,0.06,94,6,-1.2857752439152612,-1.8108902494568921
M1,19,nominal,M1_nominal_0019,B,M2,True,L,-1.5539071020587483,100,0.01,99,1,-1.5583158112378688,-1.117444893325829
M1,19,nominal,M1_nominal_0019,B,M3,True,R,-1.3340922058357203,100,0.0,100,0,-1.3340922058357203,
M1,19,nominal,M1_nominal_0019,B,M3,True,L,-1.5642425962252267,100,0.0,100,0,-1.5642425962252267,
M1,20,nominal,M1_nominal_0020,B,M1,True,R,-1.798748411841831,100,0.0,100,0,-1.798748411841831,
M1,20,nominal,M1_nominal_0020,B,M1,True,L,-1.6790446630633091,100,0.0,100,0,-1.6790446630633091,
M1,20,nominal,M1_nominal_0020,B,M2,True,R,-1.7995059560857767,100,0.01,99,1,-1.7994969249081636,-1.8004000426694533
M1,20,nominal,M1_nominal_0020,B,M2,True,L,-1.6851789168962756,100,0.0,100,0,-1.6851789168962756,
M1,20,nominal,M1_nominal_0020,B,M3,True,R,-1.7929907360966704,100,0.0,100,0,-1.7929907360966704,
M1,20,nominal,M1_nominal_0020,B,M3,True,L,-1.680500989802515,100,0.0,100,0,-1.680500989802515,
M1,21,nominal,M1_nominal_0021,B,M1,True,R,-1.0461046474893243,100,0.0,100,0,-1.0461046474893243,
M1,21,nominal,M1_nominal_0021,B,M1,True,L,-1.182872983296915,100,0.01,99,1,-1.1745313145163165,-2.0086981925761647
M1,21,nominal,M1_nominal_0021,B,M2,True,R,-1.0502147431235307,100,0.0,100,0,-1.0502147431235307,
M1,21,nominal,M1_nominal_0021,B,M2,True,L,-1.1829109665289796,100,0.02,98,2,-1.1737441352858644,-1.6320856974416218
M1,21,nominal,M1_nominal_0021,B,M3,True,R,-1.045563916778215,100,0.0,100,0,-1.045563916778215,
M1,21,nominal,M1_nominal_0021,B,M3,True,L,-1.1915949410595323,100,0.0,100,0,-1.1915949410595323,
M1,22,nominal,M1_nominal_0022,B,M1,True,R,-1.953423605592181,100,0.0,100,0,-1.953423605592181,
M1,22,nominal,M1_nominal_0022,B,M1,True,L,-1.6307038941198377,100,0.0,100,0,-1.6307038941198377,
M1,22,nominal,M1_nominal_0022,B,M2,True,R,-1.9524530823606023,100,0.0,100,0,-1.9524530823606023,
M1,22,nominal,M1_nominal_0022,B,M2,True,L,-1.6330015417581882,100,0.01,99,1,-1.637716488082812,-1.1662218556204231
M1,22,nominal,M1_nominal_0022,B,M3,True,R,-1.942642668174618,100,0.03,97,3,-1.9551283553306753,-1.538938783462106
M1,22,nominal,M1_nominal_0022,B,M3,True,L,-1.6326514732107071,100,0.0,100,0,-1.6326514732107071,
M1,23,nominal,M1_nominal_0023,B,M1,True,R,-1.7106816449421351,100,0.0,100,0,-1.7106816449421351,
M1,23,nominal,M1_nominal_0023,B,M1,True,L,-2.12506607838109,100,0.0,100,0,-2.12506607838109,
M1,23,nominal,M1_nominal_0023,B,M2,True,R,-1.7115819954044695,100,0.0,100,0,-1.7115819954044695,
M1,23,nominal,M1_nominal_0023,B,M2,True,L,-2.1211241922737596,100,0.0,100,0,-2.1211241922737596,
M1,23,nominal,M1_nominal_0023,B,M3,True,R,-1.7129208983266633,100,0.0,100,0,-1.7129208983266633,
M1,23,nominal,M1_nominal_0023,B,M3,True,L,-2.124083877788717,100,0.0,100,0,-2.124083877788717,
M1,24,nominal,M1_nominal_0024,B,M1,True,R,-0.8647616420827627,100,0.0,100,0,-0.8647616420827627,
M1,24,nominal,M1_nominal_0024,B,M1,True,L,-1.628866669595224,100,0.01,99,1,-1.6352782528133147,-0.9941199310042588
M1,24,nominal,M1_nominal_0024,B,M2,True,R,-0.8633435491776367,100,0.01,99,1,-0.8694865774874706,-0.2551837465040857
M1,24,nominal,M1_nominal_0024,B,M2,True,L,-1.6350873645262878,100,0.0,100,0,-1.6350873645262878,
M1,24,nominal,M1_nominal_0024,B,M3,True,R,-0.8735076162708673,100,0.0,100,0,-0.8735076162708673,
M1,24,nominal,M1_nominal_0024,B,M3,True,L,-1.6256184407598466,100,0.0,100,0,-1.6256184407598466,
M1,25,nominal,M1_nominal_0025,B,M1,True,R,-1.350016344713418,100,0.0,100,0,-1.350016344713418,
M1,25,nominal,M1_nominal_0025,B,M1,True,L,-1.2916330174688102,100,0.0,100,0,-1.2916330174688102,
M1,25,nominal,M1_nominal_0025,B,M2,True,R,-1.352330047796894,100,0.0,100,0,-1.352330047796894,
M1,25,nominal,M1_nominal_0025,B,M2,True,L,-1.296775062966504,100,0.0,100,0,-1.296775062966504,
M1,25,nominal,M1_nominal_0025,B,M3,True,R,-1.3480406397220306,100,0.0,100,0,-1.3480406397220306,
M1,25,nominal,M1_nominal_0025,B,M3,True,L,-1.2961852320733096,100,0.0,100,0,-1.2961852320733096,
M1,26,nominal,M1_nominal_0026,B,M1,True,R,-1.487228126131884,100,0.0,100,0,-1.487228126131884,
M1,26,nominal,M1_nominal_0026,B,M1,True,L,-1.5314174946062709,100,0.03,97,3,-1.5467897992446382,-1.0343796446323943
M1,26,nominal,M1_nominal_0026,B,M2,True,R,-1.4791369432049977,100,0.0,100,0,-1.4791369432049977,
M1,26,nominal,M1_nominal_0026,B,M2,True,L,-1.523928725196634,100,0.1,90,10,-1.53971931485999,-1.381813418226427
M1,26,nominal,M1_nominal_0026,B,M3,True,R,-1.4843980411662567,100,0.01,99,1,-1.4895618116295632,-0.9731847652989312
M1,26,nominal,M1_nominal_0026,B,M3,True,L,-1.5276719776124899,100,0.0,100,0,-1.5276719776124899,
M1,27,nominal,M1_nominal_0027,B,M1,True,R,-1.375451143851136,100,0.01,99,1,-1.3741294392710293,-1.506299897281705
M1,27,nominal,M1_nominal_0027,B,M1,True,L,-1.7225059855772848,100,0.04,96,4,-1.7371681290398204,-1.3706145424764413
M1,27,nominal,M1_nominal_0027,B,M2,True,R,-1.374884204456188,100,0.01,99,1,-1.3733926115298016,-1.5225519041684468
M1,27,nominal,M1_nominal_0027,B,M2,True,L,-1.723614765580245,100,0.06,94,6,-1.7319038591855391,-1.5937522990973045
M1,27,nominal,M1_nominal_0027,B,M3,True,R,-1.3707749556862376,100,0.0,100,0,-1.3707749556862376,
M1,27,nominal,M1_nominal_0027,B,M3,True,L,-1.7288743918872695,100,0.0,100,0,-1.7288743918872695,
M1,28,nominal,M1_nominal_0028,B,M1,True,R,-1.4741564123365,100,0.0,100,0,-1.4741564123365,
M1,28,nominal,M1_nominal_0028,B,M1,True,L,-1.7372247327085029,100,0.01,99,1,-1.7418824768799293,-1.2761080597373156
M1,28,nominal,M1_nominal_0028,B,M2,True,R,-1.475801364499964,100,0.0,100,0,-1.475801364499964,
M1,28,nominal,M1_nominal_0028,B,M2,True,L,-1.7407160276429736,100,0.02,98,2,-1.742093437629986,-1.6732229382793793
M1,28,nominal,M1_nominal_0028,B,M3,True,R,-1.4762267860135887,100,0.01,99,1,-1.480478810918429,-1.0552763204343965
M1,28,nominal,M1_nominal_0028,B,M3,True,L,-1.7378338863671225,100,0.0,100,0,-1.7378338863671225,
M1,29,nominal,M1_nominal_0029,B,M1,True,R,-5.184626571114543,100,0.54,46,54,-0.5832332586314386,-9.104331985452001
M1,29,nominal,M1_nominal_0029,B,M1,True,L,-0.6508587780428478,100,0.01,99,1,-0.654648360316863,-0.2756901329153443
M1,29,nominal,M1_nominal_0029,B,M2,True,R,-2633.7260095772654,100,0.6,40,60,-0.604248203323022,-4389.140517159892
M1,29,nominal,M1_nominal_0029,B,M2,True,L,-0.6510345215264088,100,0.0,100,0,-0.6510345215264088,
M1,29,nominal,M1_nominal_0029,B,M3,True,R,-1.5805818302883723,100,0.5,50,50,-0.531094385458909,-2.6300692751178354
M1,29,nominal,M1_nominal_0029,B,M3,True,L,-0.6497512804218064,100,0.0,100,0,-0.6497512804218064,
M1,30,nominal,M1_nominal_0030,B,M1,True,R,-1.286839251761558,100,0.0,100,0,-1.286839251761558,
M1,30,nominal,M1_nominal_0030,B,M1,True,L,-1.243309122097513,100,0.01,99,1,-1.2478383802030908,-0.7949125696452709
M1,30,nominal,M1_nominal_0030,B,M2,True,R,-1.2851258543757884,100,0.0,100,0,-1.2851258543757884,
M1,30,nominal,M1_nominal_0030,B,M2,True,L,-1.2375823778690895,100,0.02,98,2,-1.2471090022714244,-0.7707777821546843
M1,30,nominal,M1_nominal_0030,B,M3,True,R,-1.2891717251154202,100,0.0,100,0,-1.2891717251154202,
M1,30,nominal,M1_nominal_0030,B,M3,True,L,-1.2396065964907619,100,0.0,100,0,-1.2396065964907619,
M1,31,nominal,M1_nominal_0031,B,M1,True,R,-184.69364803692702,100,0.64,36,64,-1.067081905709771,-287.9835914857367
M1,31,nominal,M1_nominal_0031,B,M1,True,L,-1.910680355789554,100,0.01,99,1,-1.9214552654531132,-0.8439642990971992
M1,31,nominal,M1_nominal_0031,B,M2,True,R,-957112.1614476313,100,0.69,31,69,-1.1190193476519368,-1387118.5718139613
M1,31,nominal,M1_nominal_0031,B,M2,True,L,-1.8896045157343213,100,0.0,100,0,-1.8896045157343213,
M1,31,nominal,M1_nominal_0031,B,M3,True,R,-40.21839522188004,100,0.61,39,61,-1.1085611299117653,-65.22304324789255
M1,31,nominal,M1_nominal_0031,B,M3,True,L,-1.9013012664430504,100,0.0,100,0,-1.9013012664430504,
M1,32,nominal,M1_nominal_0032,B,M1,True,R,-0.8894491490051567,100,0.47,53,47,-0.9251880082956365,-0.8491478821456795
M1,32,nominal,M1_nominal_0032,B,M1,True,L,-0.9983351381680511,100,0.0,100,0,-0.9983351381680511,
M1,32,nominal,M1_nominal_0032,B,M2,True,R,-24.06446653017039,100,0.57,43,57,-1.0991756450535606,-41.38915965403046
M1,32,nominal,M1_nominal_0032,B,M2,True,L,-0.9974694643584772,100,0.0,100,0,-0.9974694643584772,
M1,32,nominal,M1_nominal_0032,B,M3,True,R,-0.852728311286819,100,0.43,57,43,-0.8475927426403203,-0.8595359255391544
M1,32,nominal,M1_nominal_0032,B,M3,True,L,-0.9981980005841777,100,0.0,100,0,-0.9981980005841777,
M1,33,nominal,M1_nominal_0033,B,M1,True,R,-1.4152776816554669,100,0.0,100,0,-1.4152776816554669,
M1,33,nominal,M1_nominal_0033,B,M1,True,L,-1.5968878975374456,100,0.0,100,0,-1.5968878975374456,
M1,33,nominal,M1_nominal_0033,B,M2,True,R,-1.422047397141099,100,0.0,100,0,-1.422047397141099,
M1,33,nominal,M1_nominal_0033,B,M2,True,L,-1.597887489390389,100,0.0,100,0,-1.597887489390389,
