participant,model,choice_only,objective,success,best_start_index,message,log_k_R,log_k_L,log_beta,alpha,delta_L,log_b,log_sigma,fit_run,multistarts_used,config_sha256,processed_data_sha256,data_pipeline_sha256,git_commit,runtime_sha256
rncbe0zlg,choice_only,True,86.29284292405902,True,2,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.1031778656364559,-0.03765301693629407,0.7564226075387993,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
ru26ufirj,choice_only,True,77.10073126253184,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.8890807903071387,-1.9891081750777777,0.8972486924708227,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
rv0b4sx2y,choice_only,True,117.11247530028272,True,9,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-2.6126988982109083,1.642921953583755,-0.9524662757572012,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
s4xqtibhr,choice_only,True,129.46620321383176,True,17,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,0.476304345964177,0.6296411332847649,-1.769276112238717,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
t0p3bj6ne,choice_only,True,86.39874309154729,True,11,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.48789117569805523,0.5969103655857064,0.5806972954876801,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
ta33uq804,choice_only,True,117.59075745271541,True,5,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,2.026898476737682,-0.010111884449384585,-0.42595970332088834,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
u3yyfob1i,choice_only,True,138.56796548703755,True,3,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.8420669543376407,1.736456551432177,-1.74337900707428,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
uq15yb622,choice_only,True,94.74430574170746,True,14,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.0757285478904937,0.6456645223580862,0.5968398502149832,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
vdnjz8uta,choice_only,True,33.99685230818987,True,15,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-0.1292667207436254,-0.6680624226244861,2.934967820889509,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
vr0a0xs4k,choice_only,True,129.08122797562066,True,12,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,3.0358069853371195,1.0693526651158418,-0.9044006545095247,,,,,A,20,9c6a70fe945cecdf08e25aaec2217259df4d3eb77eb5823cb1610cb322c8d4ae,e2bb506ef9bd17c4b8e062646715087a07621486b7af1360eb8ceed5703b1835,f71efda674188b9ec8628b61a0f2b64271849bb4c5f54ae6d6e3b0c20002333f,71aa972db3202b878f1753acf952ef79da923129,4d7c71ad74e5ded15364fc3a314ed4cf89909d7f524d8b8936312d49302ed545
